,realInstalls,score,ratings,reviews,price,offersIAP,genre,icon,headerImage,screenshots,video,videoImage,contentRating,adSupported,containsAds,released,updated,len_description,len_name,read sensitive log data,retrieve running apps,access USB storage filesystem,modify or delete the contents of your USB storage,read the contents of your USB storage,view Wi-Fi connections,access extra location provider commands,approximate location (network-based),precise location (GPS and network-based),modify or delete the contents of your USB storage,read the contents of your USB storage,Google Play license check,access Bluetooth settings,access serial ports,add words to user-defined dictionary,allow Wi-Fi Multicast reception,change network connectivity,change system display settings,change your audio settings,close other apps,connect and disconnect from Wi-Fi,control Near Field Communication,control flashlight,control vibration,create accounts and set passwords,disable your screen lock,draw over other apps,expand/collapse status bar,full network access,install shortcuts,measure app storage space,mock location sources for testing,modify system settings,pair with Bluetooth devices,prevent device from sleeping,read Google service configuration,read battery statistics,read sync settings,reorder running apps,run at startup,send sticky broadcast,set an alarm,set time zone,set wallpaper,toggle sync on and off,uninstall shortcuts,use accounts on the device,view network connections,Access download manager.,Interact with update and recovery system,Modify Google service configuration,Send download notifications.,adjust your wallpaper size,allow Bluetooth pairing by Application,bind to a notification listener service,configure Wifi displays,control Wifi displays,control location update notifications,control media playback and metadata access,directly install apps,download files without notification,force stop other apps,full license to interact across users,interact across users,manage document storage,modify secure system settings,power device on or off,read Home settings and shortcuts,read TV channel/program information,read sync statistics,read the contents of your USB storage,receive data from Internet,set time,transmit infrared,update component usage statistics,write Home settings and shortcuts,write TV channel/program information,write to your social stream,directly call phone numbers,read call log,read phone status and identity,read phone status and identity,add or modify calendar events and send email to guests without owners' knowledge,read calendar events plus confidential information,find accounts on the device,modify your contacts,read your contacts,take pictures and videos,record audio,add or remove accounts,find accounts on the device,read your own contact card,body sensors (like heart rate monitors),read your text messages (SMS or MMS),receive text messages (SMS),send SMS messages,change/intercept network settings and traffic
0,125464,1.59,979,785,0,0,675,1,1,13,0,0,840,0,0,1,2022,150,2,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13469,4.580645,69,13,0,0,675,1,1,4,0,0,840,1,1,1,2017,48,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12734,4.05,65,25,0,0,4,1,1,7,1,1,167,0,0,1,2023,566,3,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
3,2391,4.625,24,6,1.99,0,675,1,1,5,0,0,840,0,0,1,2014,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5258,3.8181818,65,7,0,0,675,1,1,6,1,1,840,0,0,1,2020,244,3,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,315996,4.329114,6119,30,0,1,675,1,1,4,0,0,840,0,0,1,2023,178,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,38357,3.798387,1073,165,0,0,675,1,1,8,0,0,18,0,0,1,2023,632,2,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,60108,4,555,2,0,0,675,1,1,5,0,0,840,1,1,1,2020,42,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,23105304,4.6702294,306551,4786,0,0,675,1,1,24,1,1,840,1,1,1,2023,531,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,174727,4.72,3321,115,0,0,675,1,1,24,0,0,840,0,0,1,2023,547,4,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
